Nimi;Name;longitude;latitude
Puotinkylän kartano;Puotinkylä Manor;25.10620999;60.21253744
Puotilan ostoskeskus;Puotila shopping center;25.09555951;60.21270056
Puotila (M);Puotila (M);25.09109159;60.2148243
Karhulantie;Karhulantie;25.10220192;60.21870643
Alakiventie;Alakiventie;25.07728223;60.21983978
Myllypuro (M);Myllypuro (M);25.07539017;60.22408826
Orpaanporras;Orpaanporras;25.06541782;60.22354883
Mamsellimyllynkatu;Mamsellimyllynkatu;25.05910307;60.21824578
Vallilan varikko;Vallilan varikko;24.96282314;60.19524595
Itäkeskus Metrovarikko;Itäkeskus Metrovarikko;25.06578182;60.21146073
Koskelan varikko;Koskelan varikko;24.96985712;60.21258729
Korkeasaari;Korkeasaari;24.98252693;60.17990613
Postipuisto;Postipuisto;24.93373696;60.22030126
Aurinkotuulenkatu;Aurinkotuulenkatu;25.15934635;60.2027734
Sumukuja;Sumukuja;25.15840938;60.20544673
Leikosaarentie;Leikosaarentie;25.15154626;60.2046813
Aurinkolahdenaukio;Aurinkolahdenaukio;25.15011353;60.20113608
Kalkkihiekantie;Kalkkihiekantie;25.14304029;60.2021242
Kauppakeskus Columbus;Shopping Center Columbus;25.14550436;60.2063719
Vuosaaren liikuntapuisto;Vuosaaren liikuntapuisto;25.15346457;60.21229761
Mosaiikkitori;Mosaiikkitori;25.14385259;60.20797536
Kaivonkatsojanpuisto;Kaivonkatsojanpuisto;25.13599933;60.20440477
Halkaisijantie;Halkaisijantie;25.12790982;60.20238693
Ramsinniementie;Ramsinniementie;25.11990608;60.19956365
Meri-Rastilan tori;Meri-Rastilan tori;25.11942241;60.20415423
Rastila (M);Rastila (M);25.12014086;60.20553547
Lokitie;Lokitie;25.1365036;60.20955807
Punakiventie;Punakiventie;25.14675006;60.21400149
Haapasaarentie;Haapasaarentie;25.14678718;60.21877663
Vuosaaren puistopolku;Vuosaaren puistopolku;25.14109536;60.2213209
Purjetie;Purjetie;25.13382869;60.21964832
Koukkusaarentie;Koukkusaarentie;25.13423251;60.21398072
Vartioharjuntie;Vartioharjuntie;25.11091441;60.22088947
Rukatunturintie;Rukatunturintie;25.12759698;60.23128135
Sallatunturintie;Sallatunturintie;25.11830002;60.23674091
Mellunmäki (M);Mellunmäki (M);25.10987474;60.23853535
Sinkilätie;Sinkilätie;25.11106023;60.23296145
Humikkalankuja;Humikkalankuja;25.09006415;60.22982499
Lallukankuja;Lallukankuja;25.08297117;60.22352658
Kurkimäki;Kurkimäki;25.07164165;60.22829039
Kontula (M);Kontula (M);25.08260955;60.23609535
Tuukkalantie;Tuukkalantie;25.10072322;60.23884425
Lettopolku;Lettopolku;25.08552977;60.24091394
Kontulankaari;Kontulankaari;25.07622658;60.24384164
Kivikonkaari;Kivikonkaari;25.07464334;60.23990429
Varustuksentie;Varustuksentie;25.06685726;60.23913101
Kurkimäentie;Kurkimäentie;25.06260836;60.23319439
Kivikonlaita;Kivikonlaita;25.05491523;60.23046218
Kivikon liikuntapuisto;Kivikko sports park;25.05246958;60.23703582
Jakomäentie;Jakomäentie;25.07437759;60.25377123
Jakomäki;Jakomäki;25.0759056;60.26101941
Alppikylä;Alppikylä;25.06489421;60.25943112
Heikinlaakso;Heikinlaakso;25.07271271;60.27019655
Puistolan VPK;Puistolan VPK;25.05753557;60.27008566
Puistolantori;Puistolantori;25.0458546;60.27436993
Puistolan asema;Puistolan asema;25.03435012;60.2751896
Maatullinkuja;Maatullinkuja;25.02469198;60.27623679
Sateenkaarentie;Sateenkaarentie;25.01106298;60.28075608
Siltamäki;Siltamäki;24.98939662;60.27446709
Töyrynummentie;Töyrynummentie;25.00397029;60.27196238
